school_name,REPLACEMENT COSTS IN YEARS 1—5,OVERALL CAMPUS FCI,BUILDING FCI,EXTERIOR SITE FCI,Electrical System,Equipment,Exterior Enclosure,Fire Protection,Furnishings,HVAC System
Parker (Jean) Elementary,5957958,0.26,0.27,,0.72,0.42,0.42,0.01,0.0,0.0
Parks (Rosa) Elementary,20315195,0.49,0.5,0.23,0.77,0.16,0.44,,1.25,1.0
Peabody (George) Elementary,1583583,0.11,0.1,0.22,0.25,0.48,0.02,0.0,,
Presidio Middle,25167306,0.25,0.24,0.35,0.1,0.39,0.39,,,0.38
Redding Elementary,3702358,0.16,0.16,0.19,0.3,0.64,0.28,0.0,0.27,
Revere (Paul) Elementary,12790209,0.29500000000000004,0.305,0.22499999999999998,0.6799999999999999,0.14,0.14500000000000002,0.03,0.05,1.03
Rooftop Elementary,12778087,0.43499999999999994,0.495,0.11499999999999999,0.775,1.25,0.25,0.385,0.71,0.57
Roosevelt Middle,14388157,0.2,0.2,0.19,0.18,0.08,,,,
S.F. International High,37497687,0.45,0.45,0.43,0.89,0.0,0.13,0.01,0.0,1.08
San Francisco Community Alternative,7210785,0.24,0.25,0.03,0.29,,0.01,,0.48,
San Francisco Public Montessori,7503078,0.24,0.25,0.0,0.44,,0.03,0.0,0.49,
Sanchez Elementary,5418496,0.16,0.15,0.21,0.41,1.09,0.0,0.0,,
Serra (Junipero) Elementary,1515969,0.07,0.06,0.24,0.04,0.0,0.0,0.0,0.0,
Sheridan Elementary,5381015,0.11,0.11,0.03,0.01,,0.0,0.0,,
Sherman Elementary,11291026,0.3,0.35,0.03,0.74,,0.06,,,0.0
Sloat (Commodore) Elementary,13967706,0.48,0.48,0.5,0.62,0.0,0.13,,0.67,0.86
Spring Valley Elementary,6150176,0.26,0.27,,0.56,,,0.0,,
Stevenson (Robert Louis) Elementary,6708732,0.18,0.18,0.18,0.3,0.0,0.06,0.06,,
Sunnyside Elementary,5735211,0.18,0.17,0.23,0.22,0.2,0.0,0.0,,
Sunset Elementary,11206738,0.33,0.28,0.48,0.66,,0.04,0.18,1.15,1.15
Sutro Elementary,1553768,0.09,0.1,0.07,0.26,0.0,0.07,0.0,0.0,
Taylor (Edward R.) Elementary,8792658,0.24,0.21,0.51,0.7,,0.06,0.01,,
Tenderloin Community,13364078,0.28,0.29,0.2,0.75,0.26,0.26,0.01,0.01,0.01
Ulloa Elementary,11371464,0.31,0.28,0.61,0.44,,,,,1.1
Visitacion Valley Elementary,3311584,0.08,0.11,0.0,0.0,,0.01,0.0,0.0,
Visitacion Valley Middle,14688697,0.24,0.24,0.12,0.5,,0.23,0.01,0.36,
Wallenberg (Raoul) Traditional High,9577470,0.22,0.24,0.01,0.31,0.24,0.24,0.17,0.17,
Washington (George) High,18427650,0.14,0.12,0.27,0.12,0.0,0.0,0.41,0.41,
Webster (Daniel) Elementary,3446405,0.13,0.13,0.11,0.22,0.17,0.2,1.25,0.1,
Wells (Ida B.) High,7106546,0.26,0.29,0.16,0.63,0.29,0.29,,0.8,
West Portal Elementary,13978910,0.42,0.45,0.33,1.12,0.0,0.23,0.03,0.0,1.14
Yick Wo Elementary,575331,0.04,0.02,0.22,0.01,,0.04,0.0,0.25,
Yu (Alice Fong) Elementary,6768445,0.21,0.23,0.02,0.41,0.81,0.02,0.0,0.67,
