school_name,ELA Total Students Tested,ELA Percentage Standard Exceeded,ELA Percentage Standard Met,ELA Percentage Standard Met and Above,ELA Percentage Standard Nearly Met,ELA Percentage Standard Not Met
Francisco Middle,480,13.0,27.25,40.25,14.88,44.86
Hoover (Herbert) Middle,922,20.93,36.12,57.05,23.54,19.41
Denman (James) Middle,726,10.24,20.61,30.84,26.0,43.15
King Jr. (Martin Luther) Academic Middle,356,6.74,23.88,30.62,26.4,42.98
Roosevelt Middle,625,36.48,37.92,74.4,15.84,9.76
Visitacion Valley Middle,281,3.91,19.93,23.84,19.57,56.58
Aptos Middle,826,26.25,32.44,58.69,20.17,21.14
Everett Middle,409,3.93,11.79,15.72,17.69,66.58
Buena Vista/ Horace Mann K-8,379,9.26,20.11,29.37,20.11,50.53
Lick (James) Middle,401,6.5,14.5,21.0,20.25,58.75
Marina Middle,627,14.51,34.77,49.28,24.72,26.0
Presidio Middle,938,31.73,35.9,67.63,18.16,14.21
Lee (Edwin and Anita) Newcomer,0,,,,,
Mission Education Center,20,0.0,0.0,0.0,0.0,100.0
Rooftop Elementary,380,29.29,29.29,58.58,20.58,20.84
San Francisco Community Alternative,176,23.43,24.57,48.0,16.57,35.43
Carver (George Washington) Elementary,45,4.44,8.89,13.33,8.89,77.78
New Traditions Elementary,124,57.26,25.81,83.06,12.9,4.03
Moscone (George R.) Elementary,177,17.51,20.9,38.42,18.08,43.5
Lilienthal (Claire) Elementary,412,57.04,26.7,83.74,10.44,5.83
Drew (Charles) College Preparatory Academy,63,3.17,14.29,17.46,15.87,66.67
Creative Arts Charter,306,29.61,26.64,56.25,23.36,20.39
Yu (Alice Fong) Elementary,390,53.85,28.21,82.05,13.33,4.62
Chin (John Yehall) Elementary,137,68.61,20.44,89.05,8.76,2.19
Sunset Elementary,191,65.45,21.47,86.91,8.38,4.71
Tenderloin Community,126,10.32,13.49,23.81,13.49,62.7
The New School of San Francisco,314,42.49,29.39,71.88,13.74,14.38
KIPP Bayview Elementary,48,10.42,8.33,18.75,31.25,50.0
