school_name,Math Total Students Tested,Math Percentage Standard Exceeded,Math Percentage Standard Met,Math Percentage Standard Met and Above,Math Percentage Standard Nearly Met,Math Percentage Standard Not Met
Francisco Middle,491,13.96,15.61,29.57,21.97,48.46
Hoover (Herbert) Middle,917,28.38,19.87,48.25,23.58,28.17
Denman (James) Middle,716,9.24,13.17,22.41,21.29,56.3
King Jr. (Martin Luther) Academic Middle,349,9.2,12.07,21.26,25.29,53.45
Roosevelt Middle,621,38.23,23.39,61.61,21.61,16.77
Visitacion Valley Middle,330,3.33,5.15,8.48,15.15,76.36
Aptos Middle,809,30.61,20.07,50.68,20.07,29.24
Everett Middle,481,3.33,6.04,9.38,15.0,75.63
Buena Vista/ Horace Mann K-8,389,4.88,12.85,17.74,19.79,62.47
Lick (James) Middle,399,4.26,6.52,10.78,16.29,72.93
Marina Middle,629,23.89,17.52,41.4,24.52,34.08
Presidio Middle,932,27.1,24.3,51.4,25.05,23.55
Lee (Edwin and Anita) Newcomer,0,,,,,
Mission Education Center,59,0.0,0.0,0.0,5.08,94.92
Rooftop Elementary,379,28.23,25.86,54.09,21.11,24.8
San Francisco Community Alternative,176,14.2,21.02,35.23,24.43,40.34
Carver (George Washington) Elementary,47,0.0,6.38,6.38,14.89,78.72
New Traditions Elementary,125,43.2,28.8,72.0,18.4,9.6
Moscone (George R.) Elementary,179,10.06,23.46,33.52,27.93,38.55
Lilienthal (Claire) Elementary,412,60.44,19.9,80.34,10.92,8.74
Drew (Charles) College Preparatory Academy,63,0.0,3.17,3.17,14.29,82.54
Creative Arts Charter,300,21.4,23.75,45.15,24.41,30.43
Yu (Alice Fong) Elementary,389,54.76,22.11,76.86,15.42,7.71
Chin (John Yehall) Elementary,138,63.04,23.91,86.96,10.87,2.17
Sunset Elementary,191,63.35,26.18,89.53,8.9,1.57
Tenderloin Community,128,7.03,10.94,17.97,19.53,62.5
The New School of San Francisco,313,42.17,24.6,66.77,18.53,14.7
KIPP Bayview Elementary,49,0.0,16.33,16.33,24.49,59.18
