school_name,asian_students,african_american_students,not_reported_students,filipino_students,hispanic_or_latino_students,two_or_more_races_students,white_students,pacific_islander_students,american_indian_or_alaska_native_students,asian_percent,african_american_percent,not_reported_percent,filipino_percent,hispanic_or_latino_percent,two_or_more_races_percent,white_percent,pacific_islander_percent,american_indian_or_alaska_native_percent
Presidio Middle,343,28,65,29,151,135,226,1,2,35.0,2.857142857142857,6.63265306122449,2.9591836734693877,15.408163265306122,13.77551020408163,23.06122448979592,0.10204081632653061,0.20408163265306123
Lee (Edwin and Anita) Newcomer,12,,,,,,,,,100.0,,,,,,,,
Mission Education Center,,1,6,,99,6,12,,,,0.8064516129032258,4.838709677419355,,79.83870967741935,4.838709677419355,9.67741935483871,,
Rooftop Elementary,35,63,46,12,148,75,188,,3,6.140350877192982,11.052631578947368,8.070175438596491,2.1052631578947367,25.964912280701753,13.157894736842104,32.98245614035088,,0.5263157894736842
San Francisco Community Alternative,9,27,21,17,109,23,65,2,1,3.2846715328467155,9.854014598540147,7.664233576642336,6.204379562043796,39.78102189781022,8.394160583941606,23.722627737226276,0.7299270072992701,0.36496350364963503
Carver (George Washington) Elementary,,51,3,,23,4,,14,2,,52.57731958762887,3.0927835051546393,,23.711340206185564,4.123711340206185,,14.432989690721648,2.0618556701030926
New Traditions Elementary,16,14,21,3,39,33,126,1,1,6.299212598425196,5.511811023622047,8.267716535433072,1.1811023622047243,15.354330708661418,12.992125984251967,49.60629921259843,0.39370078740157477,0.39370078740157477
Moscone (George R.) Elementary,96,8,17,,216,6,9,,,27.27272727272727,2.272727272727273,4.829545454545454,,61.36363636363637,1.7045454545454544,2.556818181818182,,
Lilienthal (Claire) Elementary,194,47,50,13,78,114,174,,,28.955223880597014,7.014925373134329,7.462686567164178,1.9402985074626864,11.641791044776118,17.01492537313433,25.970149253731346,,
Drew (Charles) College Preparatory Academy,1,101,9,4,59,8,,3,2,0.53475935828877,54.01069518716578,4.81283422459893,2.13903743315508,31.550802139037433,4.27807486631016,,1.6042780748663104,1.06951871657754
Creative Arts Charter,18,51,4,2,96,66,192,,,4.195804195804196,11.888111888111888,0.9324009324009324,0.4662004662004662,22.377622377622377,15.384615384615385,44.75524475524475,,
Yu (Alice Fong) Elementary,352,33,42,18,29,83,29,,3,59.7623089983022,5.602716468590832,7.130730050933787,3.0560271646859083,4.923599320882852,14.091680814940577,4.923599320882852,,0.5093378607809848
Chin (John Yehall) Elementary,207,2,8,7,11,3,15,,,81.81818181818183,0.7905138339920948,3.1620553359683794,2.766798418972332,4.3478260869565215,1.185770750988142,5.928853754940711,,
Sunset Elementary,222,3,26,7,26,48,71,,,55.08684863523573,0.7444168734491315,6.451612903225806,1.7369727047146404,6.451612903225806,11.910669975186105,17.617866004962778,,
Tenderloin Community,38,26,13,10,144,14,31,2,,13.66906474820144,9.352517985611511,4.676258992805756,3.597122302158273,51.798561151079134,5.0359712230215825,11.151079136690647,0.7194244604316548,
