SITE NAME,PRIMARY BUILDING USE,REPLACEMENT COSTS IN YEARS 1—5,OVERALL CAMPUS FCI,BUILDING FCI,EXTERIOR SITE FCI,Electrical System,Equipment,Exterior Enclosure,Fire Protection,Furnishings,HVAC System
135 Van Ness — 170 Fell Street Building,Admin,20731479,0.76,0.76,,1.25,,0.43,1.25,,1.25
801 Toland Street,Admin,18373214,0.68,0.72,0.03,0.78,0.65,1.17,0.0,,1.1
1060 Tennessee Street,Leased,6296583,0.66,0.67,0.33,0.92,0.0,0.83,1.25,0.88,0.92
20 Cook Street,Admin,10572522,0.63,0.61,0.76,0.81,,0.4,1.16,1.11,1.12
Rooftop Alternative School — Mayeda,School,8221802,0.58,0.61,0.21,0.92,1.25,0.33,0.77,1.25,1.14
841 Ellis Street,Admin,2904743,0.56,0.56,0.46,0.67,,0.6,0.0,1.25,0.0
2055 Sunnydale Avenue,Admin,11981298,0.55,0.59,0.17,0.66,1.25,0.26,1.19,1.25,0.91
Mission High School,School,76652995,0.54,0.55,0.3,1.05,0.66,0.46,0.0,0.48,1.06
Everett Middle School,School,50951547,0.53,0.54,0.23,0.74,0.93,0.36,0.0,1.23,1.04
Balboa High School,School,83040670,0.53,0.54,0.17,1.03,1.07,0.34,1.19,0.74,1.16
George R. Moscone ES/Las Americas EES,School,19589551,0.5,0.51,0.22,0.94,2.0,0.55,0.03,1.25,0.89
1025 Laguna Street,Leased,1394501,0.5,0.46,0.85,0.65,,0.67,,1.25,1.03
Bryant Elementary School,School,8878154,0.49,0.5,0.34,0.97,0.0,0.12,0.01,0.0,0.98
Rosa Parks Elementary School,School,20315195,0.49,0.5,0.23,0.77,0.16,0.44,,1.25,1.0
Malcolm X Academy Elementary School,School,17301575,0.48,0.52,0.07,0.88,0.0,0.06,,,1.17
741 30th Avenue,Leased,3587715,0.48,0.52,0.22,0.6,,0.62,,0.95,0.14
Commodore Sloat Elementary School,School,13967706,0.48,0.48,0.5,0.62,0.0,0.13,,0.67,0.86
95 Gough Street,Admin,1202797,0.46,0.39,0.79,0.24,,0.52,,1.25,0.0
Raphael Weill Early Education School,School,4153237,0.46,0.46,,0.74,,0.44,,1.25,0.77
135 Van Ness Avenue,Admin,35380039,0.46,0.45,0.56,0.61,0.73,0.63,,1.25,0.35
San Francisco International High School,School,37497687,0.45,0.45,0.43,0.89,0.0,0.13,0.01,0.0,1.08
Galileo Academy of Science & Technology,School,83385883,0.45,0.46,0.38,1.09,0.27,0.19,,1.09,1.08
Jefferson Early Education School,School,1476263,0.45,0.43,0.49,0.39,,0.0,1.18,,1.22
Thomas Edison Charter Academy,Charter,23010418,0.44,0.42,0.78,0.51,0.0,0.37,,0.71,1.14
Alvarado Elementary School,School,17036439,0.43,0.45,0.25,0.55,0.09,0.45,0.0,0.32,1.14
Gateway High School / KIPP SF Bay Academy,Charter,35949215,0.43,0.43,0.15,1.0,0.68,,0.0,0.73,0.76
West Portal Elementary School,School,13978910,0.42,0.45,0.33,1.12,0.0,0.23,0.03,0.0,1.14
834 Toland Street,Admin,4436799,0.41,0.43,0.01,0.82,,0.14,0.0,,0.74
1235 Mission Street,Leased,23316864,0.4,0.4,0.28,0.75,1.25,0.94,1.05,,0.61
Buena Vista Horace Mann Community School,School,26012862,0.39,0.4,0.19,0.99,0.06,0.0,1.25,0.07,0.95
The Mission Preparatory School,Charter,8788644,0.39,0.39,0.15,1.2,,0.06,1.24,,0.95
Grattan Elementary School,School,10093972,0.38,0.4,0.09,0.51,,0.09,1.23,0.0,0.86
James Denman Middle School,School,27840365,0.38,0.4,0.04,0.77,,0.21,0.03,,1.18
Leola M. Havard Early Education School,School,14858862,0.38,0.39,0.24,0.51,,0.05,0.56,0.0,0.99
New Traditions Creative Arts Elementary School,School,10110915,0.38,0.39,0.27,0.62,1.25,0.46,,1.25,1.29
Argonne Early Education School,School,2137583,0.37,0.34,0.58,0.82,,0.15,0.0,0.27,0.0
James Lick Middle School,School,28292788,0.36,0.36,0.34,0.4,0.05,0.26,,0.75,0.7
Jefferson Elementary School,School,13534170,0.36,0.36,0.37,0.64,,0.07,0.0,0.0,1.11
Claire Lilienthal Alternative School — Madison,School,5314102,0.35,0.35,0.36,0.88,1.25,0.28,,1.25,0.0
Alamo Elementary School,School,14767840,0.34,0.39,0.06,0.81,,0.13,0.0,0.0,1.05
Paul Revere School,School,7284932,0.34,0.35,0.24,0.69,,0.15,,0.05,1.03
Cleveland Elementary School,School,6167514,0.33,0.35,0.16,0.58,1.25,0.04,1.25,,0.88
Sunset Elementary School,School,11206738,0.33,0.28,0.48,0.66,,0.04,0.18,1.15,1.15
Zaida T. Rodriguez Early Edu. School (Bartlett),School,894655,0.33,0.37,0.03,0.6,,0.2,0.71,1.25,1.25
Abraham Lincoln High School,School,52955826,0.32,0.32,0.32,0.7,0.18,0.2,,0.12,0.99
Marshall Elementary School,School,5246717,0.32,0.28,0.96,0.47,1.0,0.27,0.0,0.0,0.0
Ulloa Elementary School,School,11371464,0.31,0.28,0.61,0.44,,,,,1.1
Francisco Middle School,School,22515157,0.31,0.32,0.17,0.7,,0.05,0.23,0.23,0.88
Noriega Early Education School,School,3817245,0.31,0.25,0.5,0.28,1.25,0.14,0.65,,0.28
Marina Middle School,School,32251032,0.3,0.29,0.89,0.21,0.06,0.19,0.6,0.73,0.73
Sherman Elementary School,School,11291026,0.3,0.35,0.03,0.74,,0.06,,,0.0
John O’Connell High School,School,26634269,0.3,0.29,0.63,0.73,0.28,0.18,,0.02,
Herbert Hoover Middle School,School,23794337,0.3,0.32,0.07,0.79,0.14,,0.01,0.0,
3045 Santiago Street,Admin,3881925,0.3,0.29,0.37,0.69,0.36,0.36,,,
Edwin and Anita Lee Newcomer School,School,1764309,0.29,0.29,,0.78,,0.11,0.0,0.11,
Rooftop Alternative School — Twin Peaks,School,4556285,0.29,0.38,0.02,0.63,,0.17,0.0,0.17,0.0
Dolores Huerta Elementary School,School,9759629,0.28,0.29,0.23,0.88,,0.15,0.17,0.26,
Bret Harte Elementary School,School,14746267,0.28,0.31,0.04,0.51,,,,0.2,0.0
Tenderloin Community Elementary School,School,13364078,0.28,0.29,0.2,0.75,0.26,0.26,0.01,0.01,0.01
KIPP SF College Preparatory Charter,Charter,11846188,0.28,0.29,0.08,0.82,0.49,0.02,,0.18,
Bessie Carmichael Elementary School,School,7045711,0.28,0.28,0.43,0.58,0.31,0.11,0.0,1.25,0.0
Zaida T. Rodriguez Early Edu. School (Mission),School,1196405,0.28,0.25,0.42,0.74,0.16,0.16,,1.07,0.0
Argonne Elementary School,School,7257673,0.28,0.29,0.02,0.56,0.2,0.2,,,
Cesar Chavez Elementary School,School,10527428,0.28,0.28,0.13,0.42,0.23,0.23,,,0.0
555 Franklin Street,Admin,11737451,0.27,0.27,0.44,0.47,1.25,0.16,,0.23,0.01
McKinley Elementary School,School,6524461,0.27,0.27,0.2,0.45,0.11,0.11,,,0.0
Bessie Carmichael Middle School,School,4025681,0.27,0.25,0.65,0.74,0.13,0.13,,,
Jean Parker Elementary School,School,5957958,0.26,0.27,,0.72,0.42,0.42,0.01,0.0,0.0
Ida B. Wells High School,School,7106546,0.26,0.29,0.16,0.63,0.29,0.29,,0.8,
1515 Quintara Street,Admin,2763912,0.26,0.25,0.3,0.07,0.46,0.46,,,0.0
John Muir Elementary School,School,10381693,0.26,0.26,0.11,0.68,0.06,0.06,0.05,,0.0
Spring Valley Science Elementary School,School,6150176,0.26,0.27,,0.56,,,0.0,,
Dianne Feinstein Elementary School,School,8648745,0.26,0.27,0.12,0.81,0.16,0.16,0.06,1.2,0.0
Paul Revere Elementary School (Annex),School,5505277,0.25,0.26,0.21,0.67,0.14,0.14,0.03,,
New School Charter,Charter,9209906,0.25,0.26,0.03,1.07,0.0,0.0,0.01,,
Presidio Middle School,School,25167306,0.25,0.24,0.35,0.1,0.39,0.39,,,0.38
Lakeshore Alternative Elementary School,School,8304413,0.25,0.24,0.29,0.47,0.16,0.26,0.0,1.25
Glen Park Elementary School,School,8500561,0.25,0.26,0.1,0.72,0.16,0.0,0.0,0.0
Junipero Serra Annex Early Education School,School,1216110,0.24,0.31,0.1,0.53,,0.62,,0.0
San Francisco Public Montessori ES,School,7503078,0.24,0.25,0.0,0.44,,0.03,0.0,0.49
Francis Scott Key Elementary School,School,9592457,0.24,0.24,0.27,0.71,,0.04,,
E.R. Taylor Elementary School,School,8792658,0.24,0.21,0.51,0.7,,0.06,0.01,
Aptos Middle School,School,28452813,0.24,0.24,0.11,0.52,,0.18,,
San Francisco Community School,School,7210785,0.24,0.25,0.03,0.29,,0.01,,0.48
Visitacion Valley Middle School,School,14688697,0.24,0.24,0.12,0.5,,0.23,0.01,0.36
Hilltop High School,School,5934149,0.24,0.24,0.0,0.31,,0.4,0.0,0.64
735 24th Avenue,Admin,5169989,0.24,0.22,0.31,0.24,0.96,0.27,,1.25
"Dr. Martin Luther King, Jr. Academic MS",School,9105633,0.23,0.25,0.09,0.72,0.24,0.05,0.01,
Dr. George Washington Carver ES,School,7613857,0.23,0.31,0.02,0.74,,0.05,0.0,
1440 Harrison Street,Leased,5785890,0.22,0.23,0.04,0.8,,0.0,,
Raoul Wallenberg Traditional High School,School,9577470,0.22,0.24,0.01,0.31,0.24,0.24,0.17,0.17
June Jordan School for Equity,School,15562670,0.22,0.23,0.13,0.1,,0.58,0.0,
Alice Fong Yu Alternative School,School,6768445,0.21,0.23,0.02,0.41,0.81,0.02,0.0,0.67
San Miguel Early Education School,School,2865083,0.21,0.21,0.21,0.63,0.16,0.26,,0.47
Mission Education Center Elementary School,School,4613392,0.21,0.21,0.04,0.67,,0.28,,
Leonard R. Flynn Elementary School,School,11239843,0.21,0.21,0.15,1.08,,0.28,0.0,1.25
Theresa S. Mahler Early Education School,School,1129152,0.2,0.29,0.04,0.76,0.11,0.29,,
Hillcrest Elementary School,School,7134902,0.2,0.21,0.16,0.14,,,,0.19
Roosevelt Middle School,School,14388157,0.2,0.2,0.19,0.18,0.08,,,
Lowell High School,School,32726196,0.2,0.2,0.18,0.55,,,0.0,0.08
Phillip and Sala Burton Academic High School,School,30758948,0.19,0.18,0.3,0.35,0.08,0.08,0.8,0.11
Miraloma Elementary School,School,7850572,0.19,0.16,0.4,0.52,0.05,0.05,,0.03
Lafayette Elementary School,School,7482095,0.19,0.18,0.29,0.1,,0.03,,
Robert Louis Stevenson Elementary School,School,6708732,0.18,0.18,0.18,0.3,0.0,0.06,0.06,
Lawton Alternative School,School,9130456,0.18,0.19,0.12,0.33,0.0,0.0,0.0,
Sunnyside Elementary School,School,5735211,0.18,0.17,0.23,0.22,0.2,0.0,0.0,
Ruth Asawa School of the Arts / The Academy SF,School,22858974,0.18,0.14,0.49,0.04,1.09,0.05,0.0,0.17
Thurgood Marshall Academic High School,School,16381953,0.18,0.19,0.01,0.44,0.0,0.0,0.0,
Gordon J. Lau Elementary School,School,9744805,0.17,0.18,0.05,0.25,0.57,0.18,0.0,0.57
A.P. Giannini Middle School,School,11609806,0.17,0.13,0.49,0.15,0.01,0.0,0.0,0.06
Dr. William L. Cobb Elementary School,School,3809275,0.16,0.18,0.06,0.22,0.0,0.0,0.0,
Sanchez Elementary School,School,5418496,0.16,0.15,0.21,0.41,1.09,0.0,0.0,
Redding Elementary School,School,3702358,0.16,0.16,0.19,0.3,0.64,0.28,0.0,0.27
325 Leland Avenue,Leased,664869,0.16,0.17,0.07,0.33,,0.0,2.21,
Downtown High School,School,5751848,0.15,0.16,0.01,0.38,0.0,0.38,0.0,0.46
Starr King Elementary School,School,5086789,0.15,0.16,0.01,0.22,0.0,0.22,0.0,0.0
George Washington High School,School,18427650,0.14,0.12,0.27,0.12,0.0,0.0,0.41,0.41
Daniel Webster Elementary School,School,3446405,0.13,0.13,0.11,0.22,0.17,0.2,1.25,0.1
Chinese Immersion School at DeAvila,School,5410638,0.13,0.12,0.19,0.39,0.32,0.06,0.09,0.05
Jose Ortega Elementary School,School,2766474,0.11,0.07,0.35,0.15,0.0,0.09,0.0,
Gateway Middle School / Creative Arts Charter,Charter,5784492,0.11,0.13,0.01,0.25,0.0,0.09,0.0,
Sheridan Elementary School,School,5381015,0.11,0.11,0.03,0.01,,0.0,0.0,
Frank McCoppin Elementary School,School,2052859,0.11,0.1,0.15,0.21,0.69,0.04,0.0,0.2
George Peabody Elementary School,School,1583583,0.11,0.1,0.22,0.25,0.48,0.02,0.0,
Guadalupe Elementary School,School,2857990,0.1,0.11,0.04,0.0,0.0,0.0,0.57,0.0
2055 Lombard Street,Leased,2591689,0.1,0.1,,0.45,,0.02,1.21,
Commodore Stockton Early Education School,School,2187507,0.1,0.11,0.0,0.28,0.06,0.06,0.0,0.06
Independence High School,School,1948285,0.1,0.09,0.2,0.54,0.05,0.05,0.05,0.0
Sutro Elementary School,School,1553768,0.09,0.1,0.07,0.26,0.0,0.07,0.0,0.0
Clarendon Alternative Elementary School,School,3096103,0.09,0.08,0.14,0.1,0.27,0.0,0.11,0.34
Visitacion Valley Elementary School,School,3311584,0.08,0.11,0.0,0.0,,0.01,0.0,0.0
Junipero Serra Elementary School,School,1515969,0.07,0.06,0.24,0.04,0.0,0.0,0.0,0.0
Claire Lilienthal Alte School — Winfield Scott,School,2129123,0.07,0.06,0.29,0.0,,0.0,0.0,0.0
Civic Center Secondary School,School,1426232,0.07,0.08,0.0,0.31,,0.0,0.0,0.0
Longfellow Elementary School,School,2173616,0.07,0.07,0.03,0.24,0.0,0.01,0.0,0.43
John Yehall Chin Elementary School,School,748045,0.05,0.0,0.48,0.0,,0.0,0.0,0.0
1340 Bush Street,Leased,128289,0.04,0.04,,0.13,,,,
Willie L. Brown Jr. Middle School,School,2366103,0.04,0.04,0.0,0.0,,0.0,0.01,0.0
Garfield Elementary School,School,1035518,0.04,0.03,0.32,0.18,,0.0,0.0,0.0
Yick Wo Alternative Elementary School,School,575331,0.04,0.02,0.22,0.01,,0.04,0.0,0.25
John McLaren Early Education School,School,211812,0.04,0.04,,0.17,,0.02,,
Harvey Milk Civil Rights Academy,School,489965,0.02,0.0,0.42,0.0,,0.42,0.0,0.0
Leadership Charter High School,Charter,1086649,0.02,0.02,0.0,0.0,,0.0,0.16,0.0
Monroe Elementary School,School,688926,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.0
Dr. Charles Drew College Preparatory Academy,School,429748,0.02,0.02,0.0,0.02,0.07,,0.0,
El Dorado Elementary School,School,201659,0.01,0.0,0.08,0.0,,0.01,,
Tule Elk Park Early Education School,School,8669,0.0,0.0,0.0,0.0,,0.0,,
